,reviewId,content,score,at,replyContent,appVersion,application
59067,637bbe42-0612-47bf-934d-e750aa28d182,Sobrang informative,5,2022-08-29 16:46:34,,2.12.4,Asian Parent
21463,a3bff101-40da-47d4-90f1-c6389b13f80f,Aplikasinya sangat bagus dan membantu 😊,5,2021-12-15 10:43:44,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.10.6,Asian Parent
18633,4c351ce9-f347-44b2-becc-9053772f687b,Banyak informasi yg berguna untuk semua para orang tua,5,2022-02-06 12:24:16,"Halo, Bunda. Terima kasih atas review positifnya. Kami senang Bunda bisa mendapatkan manfaat positif dari aplikasi ini. Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.10.7,Asian Parent
44198,e04f6bc6-dd1f-4db1-8395-7cd757636145,Sangat membantu,5,2020-05-07 06:14:47,"Hai, Parent! Terima kasih atas review positifnya. Semoga Anda bisa menggunakan semua fitur dalam aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.3.3,Asian Parent
86129,f9491965-da14-49c3-8871-fff39ef75b37,Lumayan,3,2019-10-29 21:57:45,"Hi Mums Nafisa Etik!
Terima kasih telah menyukai aplikasi Teman Bumil. Apabila Mums mempunyai pertanyaan atau feedback seputar Teman Bumil, bisa dikirimkan ke info@temanbumil.com :)",1.9.1,Teman Bumil
58212,94fdcae0-17ee-4fe0-bd6e-54d8df8acf72,Good application 🥰🥰,5,2023-02-02 17:14:19,"Hai, Parent Kristina Pugga ledi! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar perkembangan janin, persiapan kehamilan, tips pregnancy, rekomendasi makanan anak, gizi balita dan topik ibu hamil dan menjadi parent di komunitas kami 😊
",2.12.18,Asian Parent
10902,ffe538c8-5b58-4936-af33-1f1f1a76976e,Sangat senang sekali bisa tau perkembangan nya,5,2022-09-27 13:49:31,"Halo, Parent Maya Sari! Terima kasih atas review positifnya. Kami senang dapat membantu Anda mendapatkan informasi dari mulai perkembangan janin, masalah ibu hamil dan pertumbuhan anak. Semoga Anda juga dapat menggunakan fitur di aplikasi theAsianparent (seperti fitur pemantau kehamilan, cari nama bayi, resep dll.) dengan baik ya.😊",2.12.7,Asian Parent
33915,f3253f79-81cc-400b-90b0-fc0cbd05e457,"Sangat Membantu saya,terutama saat masa kehamilan terimakasih TAP",5,2021-03-15 18:47:07,"Halo, Parent! Terima kasih atas review positifnya. Kami senang Anda bisa mendapatkan manfaat positif dan informasi akurat seputar kehamilan dan/atau parenting dari aplikasi ini. Semoga Anda dapat memanfaatkan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman untuk bergabung di komunitas kami. 😊",2.9.0,Asian Parent
34438,508d5295-8c98-4dbb-b147-0a13785f9968,semuanya baik,4,2021-03-03 06:25:45,"Halo Bunda, terima kasih untuk dukungan Anda. Jika Anda menyukai app kami, jangan lupa kasih bintang 5★ ya! Oh ya, undang teman untuk gabung dalam komunitas theAsianparent juga! 😊",2.9.0,Asian Parent
13768,67a749f6-76b0-46e9-919d-373690f54f56,Apk bagus dan akurat,5,2022-06-28 21:57:17,"Hai, Amak officia! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar perkembangan janin, persiapan kehamilan, tips pregnancy, rekomendasi makanan anak, gizi balita dan topik ibu hamil dan menjadi parent di komunitas kami 😊",,Asian Parent
923,30ed1773-c409-436b-acea-202b7214f0e1,Ok,5,2021-03-15 05:14:50,"Hai Bunda Rafhany, terima kasih telah menggunakan aplikasi Diary Bunda dan atas ulasan baiknya 🙏🏻 Semoga aplikasi kami dapat terus membantu dan bermanfaat bagi Bunda ya. Kami akan terus kembangkan aplikasi kami agar pengalaman Bunda selalu menyenangkan. Semoga Bunda dan keluarga sehat selalu, ya! 🤗",2.1.19,Diary Bunda
7730,01207eb6-952b-4abb-88ad-9c8c89ba28b4,Bisa sharing sama bunda2 yang hamil,5,2023-03-01 10:19:47,"Halo, Parent Aliyah. Terima kasih atas review positifnya. Kami senang dapat menjadi wadah diskusi untuk Anda dengan orang tua lain. Semoga semua fitur di aplikasi ini dapat membantu memantau perkembangan janin, pregnancy/kehamilan dan bayi dengan baik ya! Oh ya, jangan lupa ajak juga teman untuk bergabung di komunitas ibu hamil dan orang tua kami😊",2.12.20,Asian Parent
55000,c23d5b41-7c09-4f32-a984-a57eb7eecc1a,baik,5,2019-02-21 17:45:25,"Halo Bunda, terima kasih banyak atas review positifnya. Semoga kedepannya Bunda dapat menggunakan semua fitur-fitur yang tersedia di aplikasi theAsianparent dengan baik ya!  😊",2.2.6.2,Asian Parent
24251,dcdc7953-fbd2-474d-b800-e423422328de,Uhuy,5,2021-11-03 08:40:38,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur dalam aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",,Asian Parent
23264,6d0698b2-9fcd-4672-a796-31c2ffc35ac1,Aku pake apl ini sejak aku hamil smpe umur anakku sudah 6 bulan. Membantu banget deh apl ini apalagi dari mitos ibu2 netijen yang mistis xixixixi,5,2021-11-16 10:41:26,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.10.3,Asian Parent
23127,24fe1a5c-39cf-4d64-a6b5-3f5aad44aea0,"Saya kira aplikasi ini hanya untuk info kehamilan saja ternyata banyak info lain yang banyak membantu saya dari mulai seputar kehamilan, seputar bayi, seputar makanan, MPASI, di sertai dengan resep nya juga, tanya jawab antar bunda, sampai ide nama buat bayi pun ada,berbagi hadiah nya pun tiap minggu, selengkap ini masih ragu untuk menginstal? Jadilah ibu smart aplikasi ini beneran banyak manfaat dan insyaallah amanah semoga aplikasinya selalu bermanfaat dan selalu membantu bunda semua aamiin 😇",5,2021-11-17 09:00:12,"Hai, Parent! Terima kasih atas review positifnya. Kami senang bahwa Anda merasa app ini dapat membantu Anda. Semoga Parent bisa memanfaatkan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Parent untuk bergabung di komunitas kami. 😊",2.10.3,Asian Parent
39228,2597bada-8c57-4901-ba3a-ed64ab7fa500,"Bgus bgt aplikasi'a,jdi bisa ngrti prkembangan si kecil",5,2020-11-06 20:52:22,"Hai, Parent! Terima kasih atas review positifnya. Kami senang bahwa Anda merasa app ini berguna untuk Anda. Semoga Anda bisa memanfaatkan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.7.9,Asian Parent
94572,9c885f1e-9442-4f7c-b343-9da8e67f342f,"Bagus banget aplikasinya,dan wajib banget orang tua baru punya aplikasi ini.benar2 sangat membantu..apalagi untuk tumbuh kembang sikecil...banyak sekali pembahasannya diaplikasi ini...",5,2022-01-11 15:24:12,"
Halo Bunda Resti Pinasih , terima kasih atas review positifnya.
Kami senang dapat membantu Bunda dalam mendampingi si Kecil melalui aplikasi. Silakan ajak teman-teman Bunda menggunakan aplikasi Tentang Anak juga ya, agar mendapatkan manfaat dari fitur-fiturnya! 😊",1.0.4,Teman Bumil
49706,97c1079b-ba03-4eeb-b53c-127a21330737,Good dechhh,4,2019-10-21 12:37:27,"Dear Parent, terima kasih untuk dukungan Anda. Jika Anda menyukai app kami, jangan lupa kasih bintang 5★ ya! Oh ya, undang teman-teman kalian untuk gabung dalam komunitas theAsianparent juga! 😊",2.3.2,Asian Parent
48539,a319fff6-345f-431c-b3ad-eea749f472f6,Ok,4,2019-11-23 20:01:30,"Hi, Parent! Thank you for your positive feedback. We hope our app features may help you and your baby. Anyway, don’t forget to invite your gang to join theAsianparent app community too! 😊",2.3.2,Asian Parent
21945,0e7cf915-6fad-498c-ac46-899c024b2ac4,Menarik,4,2021-12-03 17:21:45,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.10.5,Asian Parent
37176,8a3dff0c-3bcf-44df-8bf2-b25f9b6b2c78,Pertanyaan yang penting tidak pernah ada yg ngerespon,1,2020-12-23 21:01:42,"Hi Bunda. Setiap pengguna aplikasi memiliki pilihan untuk menjawab atau tidaknya suatu pertanyaan. Terima kasih atas feedback-nya dan saran Bunda akan menjadi pertimbangan oleh tim kami ya. Semoga Anda bisa menggunakan semua fitur dalam aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊
",2.8.0,Asian Parent
