,Unnamed: 0,reviewId,content,score,at,replyContent,appVersion,application
2,72119,8aab4534-f359-4b19-b4da-a21ee6bc4a4b,Mentok mulu di PIN stiap mau log in ga bisa msukkkk trusssssss!!!!!!,1,2024-09-10 10:48:01,"Hallo Mama Rika Komalasari, kami sangat mengerti ketidaknyamanan yang Mama rasakan. Mohon dapat dipastikan untuk aplikasi Hallobumil yang di gunakan sudah versi terbaru (2.5.5). Namun jika kendala masih terjadi, silakan diinformasikan detail keluhan nya melalui email cs@hallobumil.com agar dapat kami lakukan pengecekan lebih lanjut ^dt",2.5.5,Hallobumil
14,84722,33873d99-a312-4e6b-af96-e2b3e0a6f004,Baru mau coba kalu bangus yah tak kasih 5,3,2021-02-22 22:33:10,"Hi Mum, Terima kasih telah menyukai dan menggunakan aplikasi Teman Bumil. Jangan lupa share pengalaman Mum di Instagram Mum dan follow terus IG @temanbumil. Terus aktif dan pantau penawaran serta giveaway menarik lainnya dari Teman Bumil, kami tunggu Bintang Limanya ya Mum, terima kasih :)",,Teman Bumil
43,89600,aad10ee4-03af-4308-b878-d38670b16833,"Loading splash screennya lama. Harus restart HP dulu, baru bisa buka aplikasi. Kemudian tidak bisa login sama sekali. Loading terus, gaada respon apapun. Bad experience. Semoga bisa diperbaiki lagi. Terimakasih.",1,2022-02-12 18:14:26,"Hi Mums, Mohon maaf atas ketidaknyamanannya. Silahkan di coba kembali ya Mums. Apabila sudah bisa yuk tingkatnya review pada palyastore namun apabila masih mengalami kendala mohon informasi data berikut guna dilakukan pengecekan : 1. Screenshot. 2. No HP &email terdaftar. 3. Tipe HP&versi OS. Data dapat dkirimkan ke email info@temanbumil.com",2.10.0,Teman Bumil
89,58483,969491de-ca37-43c7-9e02-16dd705fceab,Rubbish,1,2022-12-05 22:27:31,"Hi, Parent. Thank you for your review. We apologize for the inconvenience, we understand it can be frustrating. Please send a screenshot of the issue and your account detail to to app.feedback@theasianparent.com, it will help us investigate and assist you better. Thank you.",2.12.12,Asian Parent
127,60744,80c5ac8a-58a6-4af6-a96f-4dd25ec66376,So many rules!! So difficult for sharing!,1,2022-01-10 16:47:53,"Hi, Vira Octariana! Thank you for your review and we apologize for your concern. If you have any suggestions on how we could improve and enhance your user experience. Anyway, If you don’t mind, please give us a 5 stars rating! 😊",2.10.7,Asian Parent
145,74299,0f8aa64a-f321-4cf9-ba04-8a031634e81b,"Eror mulu, awalnya ok ok aja ni apk tp beberapa hari ini ga bs dibuka sekalinya kebuka malah yg muncul profil orang lain",1,2021-01-02 08:19:04,"Hai Mama Irfan Sujono, mengenai kendala tersebut mohon utnuk logout lalu login menggunakan email terdaftar & pastikan koneksi internet stabil. Jika masih terjadi kendala mohon informasikan nama lengkap, nomor telepon, tanggal lahir, email terdaftar, dan bukti screenshot kendalanya melalui email hallobumil@gmail.com :) ^np

",2.0.14,Hallobumil
154,2097,15a9b267-5169-4ad7-8b99-15b107400556,"Ketika ada notifikasi artikel masuk kenapa tidak bisa terbuka, malah langsung terarah ke PlayStore lagi? Mohon di perbaiki, saya sebagai pengguna juga ingin membaca informasi tersaji yg sekiranya penting",1,2024-08-31 08:31:33,"Hi Parent! Kami mohon maaf atas ketidaknyamanannya. Tim kami sudah mengetahui masalah ini dan sedang berusaha untuk memperbaikinya secepat mungkin. Jika ada hal lain yang ingin disampaikan, jangan ragu untuk menghubungi kami di kayla.azzahra@theasianparent.com. Semoga Parent dapat terus menggunakan aplikasi kami ke depannya, yaa. Terima kasih 😊",3.0.10,Asian Parent
166,712,17296290-c0b4-4296-a653-144397be1847,Apliksi yg bahus,3,2022-01-29 07:08:21,"Hai Bunda Farida, terima kasih telah menggunakan aplikasi Diary Bunda dan atas ulasannya 🙏🏻 Apakah Bunda ada masukan agar kami dapat tingkatkan rating bintang dari Bunda? Terima kasih sebelumnya ya, Bunda. Semoga Bunda dan keluarga sehat selalu, ya! 🤗",3.1.3,Diary Bunda
190,72634,99a2229e-1667-4e27-8876-516969e977c5,"Tadi nya bisa digunakan dengan lancar terus sekarang tidak bisa di buka di bilang jaringan tapi saya buka aplikasi lain bisa buka youtube lancar, tolong dong di perbaiki",1,2022-09-06 16:46:57,"Hai Mama Nina Nathania, mohon maaf atas ketidaknyamanannya. Silakan dicoba untuk clear cache atau klik aplikasi cleanup/pembersih yang biasanya tersedia disemua tipe HP Android&login kembali menggunakan email. Jika masih terjadi kendala mohon mengirimkan bukti kendala melalui email hallobumil@gmail.com :) ^np

",2.2.9,Hallobumil
258,35872,a2b6a3e9-372d-4808-98e6-adc257e320f8,Aplikasi sangat membantu perkembangan janin sehinga tau perkembangan janin sdh samapai minggu ke berapa pokoknya bagus,2,2021-01-23 16:40:16,"Dear Parent, terima kasih untuk dukungan Anda. Jika Anda menyukai app kami, jangan lupa kasih bintang 5★ ya! Oh ya, undang teman untuk gabung dalam komunitas theAsianparent juga! 😊",,Asian Parent
