,Unnamed: 0,reviewId,content,score,at,replyContent,appVersion,application
0,83368,85d3e765-c7e8-4d15-be91-90b124893c85,Menyenangkan🥰,5,2022-06-30 16:01:21,"Hi Mums, Terima kasih telah menggunakan Teman Bumil. Silakan update versi terbaru Teman Bumil dan jangan lupa share pengalaman Mums di IG Mums dan follow terus IG @temanbumil juga IG @teman_parenting. Terus aktif dan pantau penawaran serta giveaway menarik lainnya dari Teman Bumil, terima kasih Mums:)",2.9.2,Teman Bumil
2,72119,8aab4534-f359-4b19-b4da-a21ee6bc4a4b,Mentok mulu di PIN stiap mau log in ga bisa msukkkk trusssssss!!!!!!,1,2024-09-10 10:48:01,"Hallo Mama Rika Komalasari, kami sangat mengerti ketidaknyamanan yang Mama rasakan. Mohon dapat dipastikan untuk aplikasi Hallobumil yang di gunakan sudah versi terbaru (2.5.5). Namun jika kendala masih terjadi, silakan diinformasikan detail keluhan nya melalui email cs@hallobumil.com agar dapat kami lakukan pengecekan lebih lanjut ^dt",2.5.5,Hallobumil
3,80274,10f8f8a7-a82d-4586-8d4e-15b3a6c23a67,"Aplikasi sangat membantu saya yang lagi hamil dalam memantau tumbuh kembang janin, terimakasih banyak",5,2023-08-28 21:21:06,"Hi Mums, Terima kasih telah menggunakan Teman Bumil. Jangan lupa share pengalaman Mums di IG Mums dan follow terus IG @temanbumil, informasi seputar parenting dan tumbuh kembang si Kecil follow juga IG @teman_parenting. Terus aktif karena banyak penawaran serta giveaway menarik lainnya dari Teman Bumil, terima kasih:)",2.19.8,Teman Bumil
4,34588,14a13395-262f-494d-bca6-4173508c4511,Solusi ibu hamil,5,2021-02-26 17:38:04,"Hai, Parent! Terima kasih atas review positifnya. Kami senang bahwa Anda merasa app ini berguna untuk Anda. Semoga Anda bisa memanfaatkan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.8.2,Asian Parent
5,23604,a7193960-193c-43a5-b10b-b73c868eaa0b,"aplikasi parenting terlengkap,dan terbaik di indonesia,dari mulai perencanaan kehamilan,growchart kehamilan,sampai bayi lahir,dan semua informasi perawatan dan pengasuhan anak lengkap banget,ini juga satu"" nya aplikasi yang banyak banget kasih reward hadiah kepada anggota nya,pokok nya TAP keren banget semua parenys wajib punya karena TAP 1 aplikasi sudah lngkap untuk semua nya,thanks TAP semenjak download banyak bgt ilmu dan pngalaman serta hadiah yg aku dapet ❤️❤️❤️",5,2021-11-09 11:29:00,"Halo, Parent! Terima kasih atas review positifnya. Kami senang dapat membantu Anda mendapatkan informasi mengenai perkembangan dan pertumbuhan anak Anda. Semoga Anda juga dapat menggunakan fitur di aplikasi theAsianparent (seperti fitur cari nama bayi, resep dll).dengan baik ya.😊",2.10.3,Asian Parent
7,7095,c31ad069-fc94-4361-af42-1cb274a439cc,Sangat membantu,5,2023-05-11 14:13:41,"Hai, Parent Gordi Devis! Terima kasih atas review positifnya. Kami senang bahwa Anda merasa app ini dapat membantu Anda. Semoga Parent bisa memanfaatkan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Parent untuk bergabung di komunitas kami. 😊
",2.12.23,Asian Parent
10,73911,e00a400c-bc08-4b6b-ac4e-74d46e164546,Bermanfaat sekali,5,2021-05-04 09:43:34,"Hallo Mama Isna Jumaningsih, terima kasih atas ulasan dan lima bintangnya. Semoga aplikasi Hallobumil dapat bermanfaat sebagai pendamping kehamilan, dan tumbuh kembang Si Kecil nantinya. Sehat selalu :) ^np

",2.0.19,Hallobumil
11,81766,adb7e51f-ed01-4a32-ac43-ea72bb3a1eee,"Aplikasi yg sangat bermanfaat cocok untuk promil, ibu hamil seperti saya, busui, dan ibu yg baru belajar untuk mengurus anak. Apalagi tampilan fiturnya bikin menarik ga gampang bosan dilihat, kita bisa liat perkembangan bayi dari gambarnya dan lengkap dengan penjelasannya. Aplikasi simple, mudah digunakan, bisa banyak belajar hal baru dari aplikasi ini, bisa sharing , apalagi banyak give away yg dibagikan bisa berguna dan bermanfaat untuk para ibu ibu yg pasti buat para ibu2 yg menang bahagia",5,2022-10-14 20:17:33,"Hi Mums, Terima kasih telah menggunakan Teman Bumil. Jangan lupa share pengalaman Mums di IG Mums dan follow terus IG @temanbumil, untuk informasi seputar parenting dan tumbuh kembang si Kecil follow juga IG @teman_parenting. Terus aktif dan pantau penawaran giveaway menarik dari Teman Bumil, terima kasih Mums:)",2.16.0,Teman Bumil
12,18954,1870ce52-b157-4503-9250-86456634ac02,Aplikasi ini sangat membantu sekali buat ibu hamil saya suka,5,2022-01-29 06:31:52,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.9.30,Asian Parent
14,84722,33873d99-a312-4e6b-af96-e2b3e0a6f004,Baru mau coba kalu bangus yah tak kasih 5,3,2021-02-22 22:33:10,"Hi Mum, Terima kasih telah menyukai dan menggunakan aplikasi Teman Bumil. Jangan lupa share pengalaman Mum di Instagram Mum dan follow terus IG @temanbumil. Terus aktif dan pantau penawaran serta giveaway menarik lainnya dari Teman Bumil, kami tunggu Bintang Limanya ya Mum, terima kasih :)",,Teman Bumil
15,26311,3b5ced04-9d61-4675-a98d-f042006f3286,Sangat bagus,5,2021-09-16 10:49:56,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur dalam aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.9.28,Asian Parent
17,5719,c3772bbf-982b-497a-a1b4-51b6dc9a55b0,Good,5,2023-11-12 05:19:58,"Hai, Parent Jihan Savira! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar perkembangan janin, persiapan kehamilan, tips pregnancy, rekomendasi makanan anak, gizi balita dan topik ibu hamil dan menjadi parent di komunitas kami 😊
",2.13.3,Asian Parent
19,73218,8bc2a00d-9ca3-4f8a-ada1-61e0e9514210,"Makasih, karna apk ini aku jadi tau perkembangan janin ku, dan gak perlu ribet ribet ngitung umur kandungan sendiri😍",5,2021-12-24 10:45:56,"Hallo Mama Nhouna Inhyunk, terima kasih atas ulasan dan lima bintangnya. Semoga aplikasi Hallobumil dapat bermanfaat sebagai pendamping kehamilan, dan tumbuh kembang Si Kecil nantinya. Sehat selalu :) ^np

",2.2.4,Hallobumil
23,57064,1e55a5a8-3cd4-4c49-9f26-671fdea85a13,Good information,5,2023-11-05 07:05:22,"Hi Parent! Your glowing review warms our heart - we really appreciate it ❤️ We hope our exclusive pregnancy & baby tracker continue to find our app useful as we accompany you on your parenting journey. We promise to keep improving your experience, too. Don't forget to invite your fellow parents and friends to join theAsianparent app community! 😊",,Asian Parent
25,59320,32ec4eb7-0e29-4e1b-b04e-b0304cb32986,Sangat membantu,5,2022-07-19 07:48:24,"Hai, Parent margaretta ana! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur aplikasi theAsianparent dengan baik ya! Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.11.6,Asian Parent
26,16420,cc8dd375-5a50-45b4-a479-7f30d0323c92,Sangat membantu untuk informasi si kecil,5,2022-03-18 19:06:33,"Halo, Bunda. Terima kasih atas review positifnya. Kami senang Bunda bisa mendapatkan manfaat positif dari aplikasi ini. Jangan ragu juga untuk bertanya seputar kehamilan, persiapan proses persalinan, tips pernikahan, rekomendasi makanan anak, gizi balita dan topik lainnya kepada para pakar di komunitas kami 😊",2.9.31,Asian Parent
