,reviewId,content,score,at,replyContent,appVersion,application
83368,85d3e765-c7e8-4d15-be91-90b124893c85,Menyenangkan🥰,5,2022-06-30 16:01:21,"Hi Mums, Terima kasih telah menggunakan Teman Bumil. Silakan update versi terbaru Teman Bumil dan jangan lupa share pengalaman Mums di IG Mums dan follow terus IG @temanbumil juga IG @teman_parenting. Terus aktif dan pantau penawaran serta giveaway menarik lainnya dari Teman Bumil, terima kasih Mums:)",2.9.2,Teman Bumil
43673,edabddf1-7ed6-42b2-830e-32160ccf3bff,Syukaa,5,2020-06-07 21:30:30,"Hai, Parent! Terima kasih atas review positifnya ❤️ Semoga Anda bisa menggunakan semua fitur dalam aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.6.17,Asian Parent
72119,8aab4534-f359-4b19-b4da-a21ee6bc4a4b,Mentok mulu di PIN stiap mau log in ga bisa msukkkk trusssssss!!!!!!,1,2024-09-10 10:48:01,"Hallo Mama Rika Komalasari, kami sangat mengerti ketidaknyamanan yang Mama rasakan. Mohon dapat dipastikan untuk aplikasi Hallobumil yang di gunakan sudah versi terbaru (2.5.5). Namun jika kendala masih terjadi, silakan diinformasikan detail keluhan nya melalui email cs@hallobumil.com agar dapat kami lakukan pengecekan lebih lanjut ^dt",2.5.5,Hallobumil
80274,10f8f8a7-a82d-4586-8d4e-15b3a6c23a67,"Aplikasi sangat membantu saya yang lagi hamil dalam memantau tumbuh kembang janin, terimakasih banyak",5,2023-08-28 21:21:06,"Hi Mums, Terima kasih telah menggunakan Teman Bumil. Jangan lupa share pengalaman Mums di IG Mums dan follow terus IG @temanbumil, informasi seputar parenting dan tumbuh kembang si Kecil follow juga IG @teman_parenting. Terus aktif karena banyak penawaran serta giveaway menarik lainnya dari Teman Bumil, terima kasih:)",2.19.8,Teman Bumil
34588,14a13395-262f-494d-bca6-4173508c4511,Solusi ibu hamil,5,2021-02-26 17:38:04,"Hai, Parent! Terima kasih atas review positifnya. Kami senang bahwa Anda merasa app ini berguna untuk Anda. Semoga Anda bisa memanfaatkan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Anda untuk bergabung di komunitas kami. 😊",2.8.2,Asian Parent
23604,a7193960-193c-43a5-b10b-b73c868eaa0b,"aplikasi parenting terlengkap,dan terbaik di indonesia,dari mulai perencanaan kehamilan,growchart kehamilan,sampai bayi lahir,dan semua informasi perawatan dan pengasuhan anak lengkap banget,ini juga satu"" nya aplikasi yang banyak banget kasih reward hadiah kepada anggota nya,pokok nya TAP keren banget semua parenys wajib punya karena TAP 1 aplikasi sudah lngkap untuk semua nya,thanks TAP semenjak download banyak bgt ilmu dan pngalaman serta hadiah yg aku dapet ❤️❤️❤️",5,2021-11-09 11:29:00,"Halo, Parent! Terima kasih atas review positifnya. Kami senang dapat membantu Anda mendapatkan informasi mengenai perkembangan dan pertumbuhan anak Anda. Semoga Anda juga dapat menggunakan fitur di aplikasi theAsianparent (seperti fitur cari nama bayi, resep dll).dengan baik ya.😊",2.10.3,Asian Parent
69991,f8383346-0d77-4182-88b6-9d156025b66e,Great app and very helpful to Parents. Easy navigation and love all its features.,5,2019-09-05 15:14:25,"Hi, Parent! Thank you for your positive feedback. We are happy that you find this app is helpful for you. We hope that our app features may help you and your baby. Anyway, don’t forget to invite your gang to join theAsianparent app community too! 😊",2.3.2,Asian Parent
7095,c31ad069-fc94-4361-af42-1cb274a439cc,Sangat membantu,5,2023-05-11 14:13:41,"Hai, Parent Gordi Devis! Terima kasih atas review positifnya. Kami senang bahwa Anda merasa app ini dapat membantu Anda. Semoga Parent bisa memanfaatkan semua fitur di aplikasi theAsianparent dengan baik ya! Jangan lupa beritahu teman Parent untuk bergabung di komunitas kami. 😊
",2.12.23,Asian Parent
41625,3e0a5c95-3f2b-442e-baa1-110e76e488d8,Sgt mmbantu dlm mncari info,4,2020-09-01 10:12:39,"Hi Hafidz TV! Thank you for your positive feedback. We really appreciate it! ❤️ We hope our app features will help you and your family in many ways. Anyway, don’t forget to invite your gang to join theAsianparent app community too! 😊 Thank you!",2.7.8,Asian Parent
64987,6b495411-909f-4e4b-b16b-a92e72162ba1,Amazing app!,5,2020-12-29 14:28:36,"Hi, Parent! Thank you for your positive feedback. We hope our app keeps helping you and your baby grow and thrive as you cross many beautiful milestones together. Please invite your squad to join theAsianparent app community too! 😊",2.7.14,Asian Parent
